Categoria,Observação,Variação,Placa A,Arquivo A,Legenda A,Placa B,Arquivo B,Legenda B,Placa C,Arquivo C,Legenda C
Geometria,Acoplamento capacitivo,distância entre trilhas coplanares e paralelas em face simples,placa 2,ALL0002,legenda placa 2,placa 1,ALL0001,legenda placa 1,,,
Geometria,Acoplamento capacitivo,comprimento de trilhas coplanares e paralelas em face simples,placa 2,ALL0002,legenda placa 2,placa 3,ALL0003,legenda placa 3,,,
Geometria,Acoplamento capacitivo,distância entre trilhas coplanares e paralelas em face dupla,placa 6,,,placa 5,,,,,
Geometria,Acoplamento capacitivo,comprimento de trilhas coplanares e paralelas em face dupla,placa 6,,,placa 7,,,,,
Referenciamento,Acoplamento capacitivo,"existência, conexão e desconexão do plano de cobre à referência",placa 1,,,placa 5,,,placa 5,,
Referenciamento,Acoplamento capacitivo,"existência, conexão e desconexão do plano de cobre à referência",placa 2,,,placa 6,,,placa 6,,
Referenciamento,Acoplamento capacitivo,"existência, conexão e desconexão do plano de cobre à referência",placa 3,,,placa 7,,,placa 7,,
Referenciamento,Acoplamento capacitivo,"existência, conexão e desconexão do plano de cobre à referência",placa 4,,,placa 8,,,placa 8,,
Referenciamento,Acoplamento capacitivo,"existência, conexão e desconexão de uma terceira trilha coplanar e paralela de cobre à referência em face simples",placa 2,,,placa 4,,,placa 4,,
Referenciamento,Acoplamento capacitivo,"existência, conexão e desconexão de uma terceira trilha coplanar e paralela de cobre à referência em face dupla",placa 6,,,placa 8,,,placa 8,,
Não idealidades,Capacitância e Indutância próprias,,placa 9,,,,,,,,